molregno,canonical_smiles,NumSaturatedHeterocycles,NumAliphaticHeterocycles,NumAliphaticCarbocycles,NOCount,NumSaturatedRings,NumAromaticCarbocycles,NHOHCount,RingCount,NumRotatableBonds,NumAromaticHeterocycles,NumSaturatedCarbocycles,NumHeteroatoms,NumAliphaticRings,FractionCSP3,HeavyAtomCount,NumAromaticRings,NumHAcceptors,NumHDonors
1480640,CN(C)CCOc1cc(O)c2C(=O)C=C(Oc2c1)c3ccccc3,0,0,0,5,0,2,1,3,5,1,0,5,0,0.21053,24,3,5,1
1480641,O=C1NC=NC2=C1C(c3ccccc3)c4ccc5cccnc5c4O2,0,1,0,5,0,2,1,5,1,2,0,5,1,0.05000,25,4,4,1
1480668,COc1ccc(cc1)C2NC(C3CCCC2C3=NNC(=O)c4ccc(N)cc4)c5ccc(OC)cc5,1,1,1,7,2,3,4,5,6,0,1,7,2,0.31034,36,3,6,3
1480642,NC1=NC(=O)NC2=C1C(c3ccccc3)c4ccccc4O2,0,1,0,5,0,2,3,4,1,1,0,5,1,0.05882,22,3,4,2
1480643,NC1=NC(=O)NC2=C1C(c3ccccc3)c4ccc(O)cc4O2,0,1,0,6,0,2,4,4,1,1,0,6,1,0.05882,23,3,5,3
1480644,NC1=NC(=O)NC2=C1C(c3ccccc3)c4ccc5ccccc5c4O2,0,1,0,5,0,3,3,5,1,1,0,5,1,0.04762,26,4,4,2
1480645,NC1=NC(=O)NC2=C1C(c3ccccc3)c4c(O2)ccc5ccccc45,0,1,0,5,0,3,3,5,1,1,0,5,1,0.04762,26,4,4,2
1480658,Oc1ccc2C(C3=C(Oc2c1)N=CNC3=O)c4ccccc4,0,1,0,5,0,2,2,4,1,1,0,5,1,0.05882,22,3,4,2
1480646,NC1=NC(=O)NC2=C1C(c3ccccc3)c4ccc5cccnc5c4O2,0,1,0,6,0,2,3,5,1,2,0,6,1,0.05000,26,4,5,2
1480647,NC1=NC(=S)NC2=C1C(c3ccccc3)c4ccccc4O2,0,1,0,4,0,2,3,4,1,1,0,5,1,0.05882,22,3,4,2
1480648,NC1=NC(=S)NC2=C1C(c3ccccc3)c4ccc(O)cc4O2,0,1,0,5,0,2,4,4,1,1,0,6,1,0.05882,23,3,5,3
1480649,NC1=NC(=S)NC2=C1C(c3ccccc3)c4ccc5ccccc5c4O2,0,1,0,4,0,3,3,5,1,1,0,5,1,0.04762,26,4,4,2
1480664,Nc1ccc(cc1)C(=O)NN=C2C3CCCC2C(NC3c4ccc(Br)cc4)c5ccc(Br)cc5,1,1,1,5,2,3,4,5,4,0,1,7,2,0.25926,34,3,4,3
1480650,NC1=NC(=S)NC2=C1C(c3ccccc3)c4c(O2)ccc5ccccc45,0,1,0,4,0,3,3,5,1,1,0,5,1,0.04762,26,4,4,2
1480651,NC1=NC(=S)NC2=C1C(c3ccccc3)c4ccc5cccnc5c4O2,0,1,0,5,0,2,3,5,1,2,0,6,1,0.05000,26,4,5,2
1480652,S=C1NC2=C(C(c3ccccc3)c4ccccc4O2)C(=S)N1,0,1,0,3,0,2,2,4,1,1,0,5,1,0.05882,22,3,3,2
1480653,Oc1ccc2C(C3=C(NC(=S)NC3=S)Oc2c1)c4ccccc4,0,1,0,4,0,2,3,4,1,1,0,6,1,0.05882,23,3,4,3
1480665,Nc1ccc(cc1)C(=O)NN=C2C3CCCC2C(NC3c4ccc(F)cc4)c5ccc(F)cc5,1,1,1,5,2,3,4,5,4,0,1,7,2,0.25926,34,3,4,3
1480654,S=C1NC2=C(C(c3ccccc3)c4ccc5ccccc5c4O2)C(=S)N1,0,1,0,3,0,3,2,5,1,1,0,5,1,0.04762,26,4,3,2
1480655,S=C1NC2=C(C(c3ccccc3)c4c(O2)ccc5ccccc45)C(=S)N1,0,1,0,3,0,3,2,5,1,1,0,5,1,0.04762,26,4,3,2
1480656,S=C1NC2=C(C(c3ccccc3)c4ccc5cccnc5c4O2)C(=S)N1,0,1,0,4,0,2,2,5,1,2,0,6,1,0.05000,26,4,4,2
1480657,O=C1NC=NC2=C1C(c3ccccc3)c4ccccc4O2,0,1,0,4,0,2,1,4,1,1,0,4,1,0.05882,21,3,3,1
1480666,Nc1ccc(cc1)C(=O)NN=C2C3CCCC2C(NC3c4ccc(Cl)cc4)c5ccc(Cl)cc5,1,1,1,5,2,3,4,5,4,0,1,7,2,0.25926,34,3,4,3
1480659,O=C1NC=NC2=C1C(c3ccccc3)c4ccc5ccccc5c4O2,0,1,0,4,0,3,1,5,1,1,0,4,1,0.04762,25,4,3,1
1480660,O=C1NC=NC2=C1C(c3ccccc3)c4c(O2)ccc5ccccc45,0,1,0,4,0,3,1,5,1,1,0,4,1,0.04762,25,4,3,1
1480661,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@H](CC[C@]4(C)[C@H]3CC[C@]12C)OC(=O)CCC(=O)O[C@@]5(CC[C@H]6[C@@H]7CCC8=Cc9oncc9C[C@]8(C)[C@H]7CC[C@]56C)C#C,0,0,8,7,6,0,0,9,6,1,6,7,8,0.74468,54,1,7,0
1480662,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@H](CC[C@]4(C)[C@H]3CC[C@]12C)OC(=O)CCC(=O)O[C@@]5(CC[C@H]6[C@@H]7CCC8=C(CNCCN)c9oncc9C[C@]8(C)[C@H]7CC[C@]56C)C#C,0,0,8,9,6,0,3,9,10,1,6,9,8,0.76000,59,1,9,2
1480663,Nc1ccc(cc1)C(=O)NN=C2C3CCCC2C(NC3c4ccccc4)c5ccccc5,1,1,1,5,2,3,4,5,4,0,1,5,2,0.25926,32,3,4,3
1480671,CC1(C)CC[C@@]2(CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](Cc6ccccc6C(=O)O)C(C)(C)[C@@H]5CC[C@@]34C)[C@@H]2C1)C(=O)O,0,0,5,4,4,1,2,6,4,0,4,4,5,0.73684,42,1,2,2
1480672,CC1(C)CC[C@]2(CCCCC(=O)NC(Cc3ccccc3)C(=O)O)CC[C@]4(C)C(=CC[C@@H]5[C@@]6(C)CC[C@H](OCc7ccc(cc7)C(=O)O)C(C)(C)[C@@H]6CC[C@@]45C)[C@@H]2C1,0,0,5,7,4,2,3,7,13,0,4,7,5,0.66667,58,2,4,3
1480673,COc1ccc(CC(NC(=O)C[C@]23CCC(C)(C)C[C@H]2C4=CC[C@@H]5[C@@]6(C)CC[C@H](O)C(C)(C)[C@@H]6CC[C@@]5(C)[C@]4(C)CC3)C(=O)O)cc1OC,0,0,5,7,4,1,3,6,8,0,4,7,5,0.76190,49,1,5,3
1480688,COc1cccc2[nH]c3[C@@H](C[C@H]4C[C@@H]5N(CCc6c5[nH]c7ccccc67)C[C@@H]4C=C)NCCc3c12,1,3,0,5,1,2,3,7,4,2,0,5,3,0.40000,35,4,3,3
1480674,COc1cc(CC(NC(=O)C[C@]23CCC(C)(C)C[C@H]2C4=CC[C@@H]5[C@@]6(C)CC[C@H](O)C(C)(C)[C@@H]6CC[C@@]5(C)[C@]4(C)CC3)C(=O)O)cc(OC)c1,0,0,5,7,4,1,3,6,8,0,4,7,5,0.76190,49,1,5,3
1480675,Cc1ccccc1CC(NC(=O)C[C@]23CCC(C)(C)C[C@H]2C4=CC[C@@H]5[C@@]6(C)CC[C@H](O)C(C)(C)[C@@H]6CC[C@@]5(C)[C@]4(C)CC3)C(=O)O,0,0,5,5,4,1,3,6,6,0,4,5,5,0.75610,46,1,3,3
1480676,Cc1ccc(CC(NC(=O)C[C@]23CCC(C)(C)C[C@H]2C4=CC[C@@H]5[C@@]6(C)CC[C@H](O)C(C)(C)[C@@H]6CC[C@@]5(C)[C@]4(C)CC3)C(=O)O)cc1,0,0,5,5,4,1,3,6,6,0,4,5,5,0.75610,46,1,3,3
1480677,COc1ccccc1CC(NC(=O)C[C@]23CCC(C)(C)C[C@H]2C4=CC[C@@H]5[C@@]6(C)CC[C@H](O)C(C)(C)[C@@H]6CC[C@@]5(C)[C@]4(C)CC3)C(=O)O,0,0,5,6,4,1,3,6,7,0,4,6,5,0.75610,47,1,4,3
1480678,COc1cccc(CC(NC(=O)C[C@]23CCC(C)(C)C[C@H]2C4=CC[C@@H]5[C@@]6(C)CC[C@H](O)C(C)(C)[C@@H]6CC[C@@]5(C)[C@]4(C)CC3)C(=O)O)c1,0,0,5,6,4,1,3,6,7,0,4,6,5,0.75610,47,1,4,3
1514290,Cc1c(CN)cnn1O,0,0,0,4,0,0,3,1,1,1,0,4,0,0.40000,9,1,4,2
1480679,COc1ccc(CC(NC(=O)C[C@]23CCC(C)(C)C[C@H]2C4=CC[C@@H]5[C@@]6(C)CC[C@H](O)C(C)(C)[C@@H]6CC[C@@]5(C)[C@]4(C)CC3)C(=O)O)cc1,0,0,5,6,4,1,3,6,7,0,4,6,5,0.75610,47,1,4,3
1480680,CC1(C)CC[C@]2(CC(=O)NC(Cc3ccc4OCOc4c3)C(=O)O)CC[C@]5(C)C(=CC[C@@H]6[C@@]7(C)CC[C@H](O)C(C)(C)[C@@H]7CC[C@@]56C)[C@@H]2C1,0,1,5,7,4,1,3,7,6,0,4,7,6,0.75610,48,1,5,3
1480681,COc1cccc(CC(NC(=O)C[C@]23CCC(C)(C)C[C@H]2C4=CC[C@@H]5[C@@]6(C)CC[C@H](O)C(C)(C)[C@@H]6CC[C@@]5(C)[C@]4(C)CC3)C(=O)O)c1OC,0,0,5,7,4,1,3,6,8,0,4,7,5,0.76190,49,1,5,3
1480682,CC1(C)CC[C@@]2(CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@@]34C)[C@@H]2C1)C(=O)OCCCCCCCCCCCCC(=O)O,0,0,5,5,4,0,2,5,14,0,4,5,5,0.90698,48,0,4,2
1480683,CC[C@@H]1CN2CCc3c([nH]c4ccccc34)[C@H]2C[C@@H]1CCO,1,2,0,3,1,1,2,4,3,1,0,3,2,0.57895,22,2,2,2
1480684,C\C=C/1\CN2CC[C@@]34[C@@H]2C[C@@H]1[C@@H](CO)C3N(C(=O)C)c5ccccc45,2,3,1,4,3,1,1,5,1,0,1,4,4,0.57143,25,1,3,1
1480685,C\C=C/1\CN2CC[C@@]34[C@@H]2C[C@@H]1[C@@H](COC(=O)C)[C@@H]3N(C(=O)C)c5ccccc45,2,3,1,5,3,1,0,5,2,0,1,5,4,0.56522,28,1,4,0
1480686,C\C=C(\C)/C(=O)O[C@H]1[C@H]2[C@@H](C[C@@H](C)[C@@H]3C=CC(=O)[C@@]13C)OC(=O)[C@H]2C,1,1,2,5,2,0,0,3,2,0,1,5,3,0.65000,25,0,5,0
1480687,C[C@H]1N[C@@H](CCCCCCCCCCC(=O)C)CC[C@H]1O,1,1,0,3,1,0,2,1,11,0,0,3,1,0.94444,21,0,3,2
1480819,CC(C)(C)c1ccc(cc1)S(=O)(=O)N2CCN(CC2)C(c3ccccc3)c4ccccc4,1,1,0,4,1,3,0,4,5,0,0,5,1,0.33333,32,3,3,0
1480689,COc1cc2CCN(C)[C@H]3Cc4ccc(Oc5cc(C[C@@H]6NCCc7cc8Oc1c(Oc8cc67)c23)ccc5O)cc4,0,5,0,7,0,4,2,9,1,0,0,7,5,0.29412,41,4,7,2
1480690,CI.COc1cc2CCN(C)[C@H]3Cc4ccc(Oc5cc(C[C@@H]6N(C)CCc7cc8Oc1c(Oc8cc67)c23)ccc5O)cc4,0,5,0,7,0,4,1,9,1,0,0,8,5,0.33333,44,4,7,1
1480691,CN[C@H]1CC[C@]2(C)[C@H]3CC[C@]45C=N[C@@H](C)[C@H]4CC[C@H]5[C@@H]3CC=C2C1,0,1,4,2,3,0,1,5,1,0,3,2,5,0.86364,24,0,2,1
1480692,COc1cc2CCN(C)[C@H]3Cc4ccc(Oc5cc(C[C@H]6NCCc7cc(OC)c(Oc(c1O)c23)cc67)ccc5O)cc4,0,4,0,8,0,4,3,8,2,0,0,8,4,0.31429,43,4,8,3
1480693,CC[C@@H]1CN2CC[C@@]34[C@@H]2C[C@@H]1[C@H]5CO[C@H]([C@@H]6[C@H]7C[C@@H]8N(CC[C@]89[C@H]6N(C(=O)C)c%10ccccc9%10)C[C@H]7CC)N([C@H]35)c%11ccccc4%11,5,7,2,6,7,2,0,11,3,0,2,6,9,0.67500,46,2,5,0
1486343,CCCN(CC=C)C(=O)C(Cl)Cl,0,0,0,2,0,0,0,0,5,0,0,4,0,0.62500,12,0,1,0
